"Dataset: Underlying Cause of Death, 1999-2017",,,,,,,
Query Parameters:,,,,,,,
Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44),,,,,,,
Group By: State; Year; Month,,,,,,,
Notes,State,State Code,Year,Year Code,Month,Month Code,Deaths
,Alabama,1,2015,2015,"Oct., 2015",2015/10,36
,Alabama,1,2015,2015,"Nov., 2015",2015/11,45
,Alabama,1,2015,2015,"Dec., 2015",2015/12,44
,Alabama,1,2016,2016,"Jan., 2016",2016/01,49
,Alabama,1,2016,2016,"Feb., 2016",2016/02,55
,Alabama,1,2016,2016,"Mar., 2016",2016/03,44
,Alabama,1,2016,2016,"Apr., 2016",2016/04,51
,Alabama,1,2016,2016,"May, 2016",2016/05,51
,Alabama,1,2016,2016,"Jun., 2016",2016/06,79
,Alabama,1,2016,2016,"Jul., 2016",2016/07,60
,Alabama,1,2016,2016,"Aug., 2016",2016/08,61
,Alabama,1,2016,2016,"Sep., 2016",2016/09,61
,Alabama,1,2016,2016,"Oct., 2016",2016/10,46
,Alabama,1,2016,2016,"Nov., 2016",2016/11,56
,Alabama,1,2016,2016,"Dec., 2016",2016/12,67
,Alabama,1,2017,2017,"Jan., 2017",2017/01,71
,Alabama,1,2017,2017,"Feb., 2017",2017/02,60
,Alabama,1,2017,2017,"Mar., 2017",2017/03,78
,Alabama,1,2017,2017,"Apr., 2017",2017/04,56
,Alabama,1,2017,2017,"May, 2017",2017/05,61
,Alabama,1,2017,2017,"Jun., 2017",2017/06,73
,Alabama,1,2017,2017,"Jul., 2017",2017/07,62
,Alabama,1,2017,2017,"Aug., 2017",2017/08,64
,Alabama,1,2017,2017,"Sep., 2017",2017/09,55
,Alabama,1,2017,2017,"Oct., 2017",2017/10,42
,Alabama,1,2017,2017,"Nov., 2017",2017/11,52
,Alabama,1,2017,2017,"Dec., 2017",2017/12,78
,Alaska,2,2003,2003,"Mar., 2003",2003/03,10
,Alaska,2,2004,2004,"Sep., 2004",2004/09,10
,Alaska,2,2004,2004,"Nov., 2004",2004/11,11
,Alaska,2,2005,2005,"Sep., 2005",2005/09,10
,Alaska,2,2008,2008,"Feb., 2008",2008/02,12
,Alaska,2,2008,2008,"Mar., 2008",2008/03,16
,Alaska,2,2008,2008,"Oct., 2008",2008/10,11
,Alaska,2,2009,2009,"Jan., 2009",2009/01,14
,Alaska,2,2009,2009,"Mar., 2009",2009/03,18
,Alaska,2,2009,2009,"Sep., 2009",2009/09,10
,Alaska,2,2009,2009,"Dec., 2009",2009/12,12
,Alaska,2,2010,2010,"May, 2010",2010/05,12
,Alaska,2,2011,2011,"Jun., 2011",2011/06,11
,Alaska,2,2011,2011,"Sep., 2011",2011/09,12
,Alaska,2,2011,2011,"Dec., 2011",2011/12,11
,Alaska,2,2012,2012,"Jan., 2012",2012/01,11
,Alaska,2,2012,2012,"Feb., 2012",2012/02,14
,Alaska,2,2012,2012,"Jul., 2012",2012/07,10
,Alaska,2,2012,2012,"Nov., 2012",2012/11,19
,Alaska,2,2013,2013,"Jul., 2013",2013/07,10
,Alaska,2,2013,2013,"Sep., 2013",2013/09,12
,Alaska,2,2013,2013,"Dec., 2013",2013/12,10
,Alaska,2,2014,2014,"Mar., 2014",2014/03,11
,Alaska,2,2014,2014,"Sep., 2014",2014/09,11
,Alaska,2,2014,2014,"Oct., 2014",2014/10,14
,Alaska,2,2014,2014,"Nov., 2014",2014/11,12
,Alaska,2,2014,2014,"Dec., 2014",2014/12,13
,Alaska,2,2015,2015,"Aug., 2015",2015/08,12
,Alaska,2,2015,2015,"Sep., 2015",2015/09,12
,Alaska,2,2015,2015,"Oct., 2015",2015/10,10
,Alaska,2,2015,2015,"Dec., 2015",2015/12,14
,Alaska,2,2016,2016,"Jan., 2016",2016/01,14
,Alaska,2,2016,2016,"Feb., 2016",2016/02,12
,Alaska,2,2016,2016,"Apr., 2016",2016/04,12
,Alaska,2,2016,2016,"May, 2016",2016/05,12
,Alaska,2,2016,2016,"Nov., 2016",2016/11,11
,Alaska,2,2016,2016,"Dec., 2016",2016/12,13
,Alaska,2,2017,2017,"Jan., 2017",2017/01,15
,Alaska,2,2017,2017,"May, 2017",2017/05,17
,Alaska,2,2017,2017,"Jul., 2017",2017/07,12
